(0, 0) => (19, 16) @ (22, 18) == -1
(19, 16) => (20, 17) @ (22, 17) == 1
(20, 17) => (21, 18) @ (22, 18) == 1
(21, 18) => (20, 17) @ (22, 19) == -1
(20, 17) => (19, 16) @ (22, 18) == -1
(19, 16) => (18, 15) @ (22, 17) == -1
(18, 15) => (19, 14) @ (22, 16) == -1
(19, 14) => (20, 13) @ (22, 15) == -1
(20, 13) => (21, 12) @ (22, 14) == -1
(21, 12) => (22, 11) @ (22, 13) == -1
(22, 11) => (23, 10) @ (22, 12) == -1
(0, 0) => (19, 16) @ (22, 18) == -1
(19, 16) => (20, 17) @ (22, 17) == 1
(20, 17) => (21, 18) @ (22, 18) == 0
(21, 18) => (20, 19) @ (22, 18) == 1
(20, 19) => (19, 20) @ (22, 19) == 1
(19, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (19, 20) @ (22, 21) == -1
(19, 20) => (20, 19) @ (22, 20) == -1
(20, 19) => (21, 18) @ (22, 19) == -1
(21, 18) => (20, 17) @ (22, 18) == -1
(20, 17) => (19, 16) @ (22, 17) == -1
(19, 16) => (18, 15) @ (22, 16) == -1
(18, 15) => (19, 14) @ (22, 15) == -1
(19, 14) => (20, 13) @ (22, 14) == -1
(20, 13) => (21, 12) @ (22, 13) == -1
(21, 12) => (20, 11) @ (22, 12) == -1
(20, 11) => (19, 10) @ (22, 11) == -1
(0, 0) => (19, 16) @ (22, 18) == -1
(19, 16) => (20, 17) @ (22, 17) == 1
(20, 17) => (21, 18) @ (22, 18) == 0
(21, 18) => (20, 19) @ (22, 18) == 1
(20, 19) => (19, 20) @ (22, 19) == 1
(19, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (19, 20) @ (22, 21) == -1
(19, 20) => (20, 19) @ (22, 20) == -1
(20, 19) => (21, 18) @ (22, 19) == -1
(21, 18) => (20, 17) @ (22, 18) == -1
(20, 17) => (19, 16) @ (22, 17) == -1
(19, 16) => (18, 15) @ (22, 16) == -1
(18, 15) => (19, 14) @ (22, 15) == -1
(19, 14) => (20, 13) @ (22, 14) == -1
(20, 13) => (21, 12) @ (22, 13) == -1
(21, 12) => (20, 11) @ (22, 12) == -1
(20, 11) => (19, 10) @ (22, 11) == -1
(19, 10) => (18, 9) @ (22, 10) == -1
(18, 9) => (19, 10) @ (22, 9) == 1
(19, 10) => (20, 11) @ (22, 10) == 1
(20, 11) => (21, 12) @ (22, 11) == 1
(21, 12) => (20, 13) @ (22, 12) == 1
(20, 13) => (19, 14) @ (22, 13) == 1
(19, 14) => (18, 15) @ (22, 14) == 1
(18, 15) => (19, 14) @ (22, 15) == -1
(19, 14) => (20, 13) @ (22, 14) == -1
(20, 13) => (21, 12) @ (22, 13) == -1
(21, 12) => (20, 11) @ (22, 12) == -1
(20, 11) => (19, 10) @ (22, 11) == -1
(19, 10) => (18, 9) @ (22, 10) == -1
(18, 9) => (17, 8) @ (22, 9) == -1
(17, 8) => (18, 7) @ (22, 8) == -1
(18, 7) => (19, 6) @ (22, 7) == -1
(19, 6) => (20, 5) @ (22, 6) == -1
(20, 5) => (21, 4) @ (22, 5) == -1
(21, 4) => (20, 3) @ (22, 4) == -1
(20, 3) => (19, 2) @ (22, 3) == -1
(19, 2) => (18, 1) @ (22, 2) == -1
(18, 1) => (19, 2) @ (22, 1) == 1
(19, 2) => (20, 3) @ (22, 2) == 1
(20, 3) => (21, 4) @ (22, 3) == 1
(21, 4) => (20, 5) @ (22, 4) == 1
(20, 5) => (19, 6) @ (22, 5) == 1
(19, 6) => (18, 7) @ (22, 6) == 1
(18, 7) => (17, 8) @ (22, 7) == 1
(17, 8) => (16, 9) @ (22, 8) == 1
(16, 9) => (17, 10) @ (22, 9) == 1
(17, 10) => (18, 9) @ (22, 10) == -1
(18, 9) => (19, 8) @ (22, 9) == -1
(19, 8) => (20, 7) @ (22, 8) == -1
(20, 7) => (21, 6) @ (22, 7) == -1
(21, 6) => (20, 5) @ (22, 6) == -1
(20, 5) => (19, 4) @ (22, 5) == -1
(19, 4) => (18, 3) @ (22, 4) == -1
(18, 3) => (19, 2) @ (22, 3) == -1
(19, 2) => (20, 1) @ (22, 2) == -1
(20, 1) => (21, 2) @ (22, 1) == 1
(21, 2) => (20, 3) @ (22, 2) == 1
(20, 3) => (19, 4) @ (22, 3) == 1
(19, 4) => (18, 5) @ (22, 4) == 1
(18, 5) => (19, 6) @ (22, 5) == 1
(19, 6) => (20, 7) @ (22, 6) == 1
(20, 7) => (21, 8) @ (22, 7) == 1
(21, 8) => (20, 9) @ (22, 8) == 1
(20, 9) => (19, 10) @ (22, 9) == 1
(19, 10) => (18, 11) @ (22, 10) == 1
(18, 11) => (19, 10) @ (22, 11) == -1
(19, 10) => (20, 9) @ (22, 10) == -1
(20, 9) => (21, 8) @ (22, 9) == -1
(21, 8) => (20, 7) @ (22, 8) == -1
(20, 7) => (19, 6) @ (22, 7) == -1
(19, 6) => (18, 5) @ (22, 6) == -1
(18, 5) => (17, 4) @ (22, 5) == -1
(17, 4) => (18, 3) @ (22, 4) == -1
(18, 3) => (19, 2) @ (22, 3) == -1
(19, 2) => (20, 1) @ (22, 2) == -1
(20, 1) => (21, 2) @ (22, 1) == 1
(21, 2) => (20, 3) @ (22, 2) == 1
(20, 3) => (19, 4) @ (22, 3) == 1
(19, 4) => (18, 5) @ (22, 4) == 1
(18, 5) => (19, 4) @ (22, 5) == -1
(19, 4) => (20, 3) @ (22, 4) == -1
(20, 3) => (21, 2) @ (22, 3) == -1
(21, 2) => (20, 1) @ (22, 2) == -1
(20, 1) => (19, 2) @ (22, 1) == 1
(19, 2) => (18, 3) @ (22, 2) == 1
(18, 3) => (17, 4) @ (22, 3) == 1
(17, 4) => (16, 5) @ (22, 4) == 1
(16, 5) => (17, 4) @ (22, 5) == -1
(17, 4) => (18, 3) @ (22, 4) == -1
(18, 3) => (19, 2) @ (22, 3) == -1
(19, 2) => (20, 1) @ (22, 2) == -1
(20, 1) => (21, 2) @ (22, 1) == 1
(21, 2) => (20, 3) @ (22, 2) == 1
(20, 3) => (19, 4) @ (22, 3) == 1
(19, 4) => (18, 5) @ (22, 4) == 1
(18, 5) => (17, 6) @ (22, 5) == 1
(17, 6) => (18, 5) @ (22, 6) == -1
(18, 5) => (19, 4) @ (22, 5) == -1
(19, 4) => (20, 3) @ (22, 4) == -1
(20, 3) => (21, 2) @ (22, 3) == -1
(21, 2) => (20, 1) @ (22, 2) == -1
(20, 1) => (19, 2) @ (22, 1) == 1
(19, 2) => (18, 3) @ (22, 2) == 1
(18, 3) => (17, 4) @ (22, 3) == 1
(17, 4) => (16, 5) @ (22, 4) == 1
(16, 5) => (15, 6) @ (22, 5) == 1
(15, 6) => (16, 7) @ (22, 6) == 1
(16, 7) => (17, 8) @ (22, 7) == 1
(17, 8) => (18, 9) @ (22, 8) == 1
(18, 9) => (19, 10) @ (22, 9) == 1
(19, 10) => (20, 11) @ (22, 10) == 1
(20, 11) => (21, 12) @ (22, 11) == 1
(21, 12) => (20, 13) @ (22, 12) == 1
(20, 13) => (19, 14) @ (22, 13) == 1
(19, 14) => (18, 15) @ (22, 14) == 1
(18, 15) => (17, 16) @ (22, 15) == 1
(17, 16) => (16, 17) @ (22, 16) == 1
(16, 17) => (15, 16) @ (22, 17) == -1
(15, 16) => (14, 15) @ (22, 16) == -1
(14, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (14, 15) @ (22, 14) == 1
(14, 15) => (13, 16) @ (22, 15) == 1
(13, 16) => (12, 15) @ (22, 16) == -1
(12, 15) => (11, 16) @ (22, 15) == 1
(11, 16) => (10, 15) @ (22, 16) == -1
(10, 15) => (11, 16) @ (22, 15) == 1
(11, 16) => (12, 17) @ (22, 16) == 1
(12, 17) => (11, 16) @ (22, 17) == -1
(11, 16) => (10, 15) @ (22, 16) == -1
(10, 15) => (11, 16) @ (22, 15) == 1
(11, 16) => (12, 17) @ (22, 16) == 1
(12, 17) => (13, 18) @ (22, 17) == 1
(13, 18) => (14, 17) @ (22, 18) == -1
(14, 17) => (15, 16) @ (22, 17) == -1
(15, 16) => (14, 17) @ (22, 16) == 1
(14, 17) => (13, 18) @ (22, 17) == 1
(13, 18) => (12, 19) @ (22, 18) == 1
(12, 19) => (13, 20) @ (22, 19) == 1
(13, 20) => (12, 21) @ (22, 20) == 1
(12, 21) => (11, 20) @ (22, 21) == -1
(11, 20) => (12, 19) @ (22, 20) == -1
(12, 19) => (13, 18) @ (22, 19) == -1
(13, 18) => (14, 17) @ (22, 18) == -1
(14, 17) => (15, 16) @ (22, 17) == -1
(15, 16) => (16, 15) @ (22, 16) == -1
(16, 15) => (17, 14) @ (22, 15) == -1
(17, 14) => (18, 15) @ (22, 14) == 1
(18, 15) => (19, 16) @ (22, 15) == 1
(19, 16) => (20, 17) @ (22, 16) == 1
(20, 17) => (21, 18) @ (22, 17) == 1
(21, 18) => (20, 19) @ (22, 18) == 1
(20, 19) => (19, 20) @ (22, 19) == 1
(19, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (17, 22) @ (22, 21) == 1
(17, 22) => (18, 23) @ (22, 22) == 1
(18, 23) => (19, 24) @ (22, 23) == 1
(19, 24) => (20, 25) @ (22, 24) == 1
(20, 25) => (21, 26) @ (22, 25) == 1
(21, 26) => (20, 27) @ (22, 26) == 1
(20, 27) => (19, 28) @ (22, 27) == 1
(19, 28) => (18, 29) @ (22, 28) == 1
(18, 29) => (17, 30) @ (22, 29) == 1
(17, 30) => (18, 31) @ (22, 30) == 1
(18, 31) => (19, 32) @ (22, 31) == 1
(19, 32) => (20, 33) @ (22, 32) == 1
(20, 33) => (21, 34) @ (22, 33) == 1
(21, 34) => (20, 35) @ (22, 34) == 1
(20, 35) => (19, 34) @ (22, 35) == -1
(19, 34) => (18, 33) @ (22, 34) == -1
(18, 33) => (17, 32) @ (22, 33) == -1
(17, 32) => (16, 31) @ (22, 32) == -1
(16, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 31) @ (22, 30) == 1
(16, 31) => (17, 32) @ (22, 31) == 1
(17, 32) => (18, 33) @ (22, 32) == 1
(18, 33) => (19, 34) @ (22, 33) == 1
(19, 34) => (20, 35) @ (22, 34) == 1
(20, 35) => (21, 34) @ (22, 35) == -1
(21, 34) => (20, 33) @ (22, 34) == -1
(20, 33) => (19, 32) @ (22, 33) == -1
(19, 32) => (18, 31) @ (22, 32) == -1
(18, 31) => (17, 30) @ (22, 31) == -1
(17, 30) => (18, 31) @ (22, 30) == 1
(18, 31) => (19, 32) @ (22, 31) == 1
(19, 32) => (20, 33) @ (22, 32) == 1
(20, 33) => (21, 34) @ (22, 33) == 1
(21, 34) => (20, 35) @ (22, 34) == 1
(20, 35) => (19, 34) @ (22, 35) == -1
(19, 34) => (18, 33) @ (22, 34) == -1
(18, 33) => (17, 32) @ (22, 33) == -1
(17, 32) => (16, 31) @ (22, 32) == -1
(16, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 31) @ (22, 30) == 1
(16, 31) => (17, 32) @ (22, 31) == 1
(17, 32) => (18, 33) @ (22, 32) == 1
(18, 33) => (19, 34) @ (22, 33) == 1
(19, 34) => (20, 35) @ (22, 34) == 1
(20, 35) => (21, 34) @ (22, 35) == -1
(21, 34) => (20, 33) @ (22, 34) == -1
(20, 33) => (19, 32) @ (22, 33) == -1
(19, 32) => (18, 31) @ (22, 32) == -1
(18, 31) => (17, 30) @ (22, 31) == -1
(17, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (15, 30) @ (22, 29) == 1
(15, 30) => (14, 31) @ (22, 30) == 1
(14, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (15, 30) @ (22, 29) == 1
(15, 30) => (14, 31) @ (22, 30) == 1
(14, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (17, 28) @ (22, 29) == -1
(17, 28) => (18, 27) @ (22, 28) == -1
(18, 27) => (19, 26) @ (22, 27) == -1
(19, 26) => (20, 25) @ (22, 26) == -1
(20, 25) => (21, 24) @ (22, 25) == -1
(21, 24) => (20, 23) @ (22, 24) == -1
(20, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (18, 21) @ (22, 22) == -1
(18, 21) => (19, 22) @ (22, 21) == 1
(19, 22) => (20, 23) @ (22, 22) == 1
(20, 23) => (21, 24) @ (22, 23) == 1
(21, 24) => (20, 25) @ (22, 24) == 1
(20, 25) => (19, 26) @ (22, 25) == 1
(19, 26) => (18, 27) @ (22, 26) == 1
(18, 27) => (17, 28) @ (22, 27) == 1
(17, 28) => (16, 29) @ (22, 28) == 1
(16, 29) => (15, 30) @ (22, 29) == 1
(15, 30) => (14, 31) @ (22, 30) == 1
(14, 31) => (13, 32) @ (22, 31) == 1
(13, 32) => (14, 31) @ (22, 32) == -1
(14, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (17, 28) @ (22, 29) == -1
(17, 28) => (18, 27) @ (22, 28) == -1
(18, 27) => (19, 26) @ (22, 27) == -1
(19, 26) => (20, 25) @ (22, 26) == -1
(20, 25) => (21, 24) @ (22, 25) == -1
(21, 24) => (20, 23) @ (22, 24) == -1
(20, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (18, 21) @ (22, 22) == -1
(18, 21) => (17, 20) @ (22, 21) == -1
(17, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (19, 22) @ (22, 21) == 1
(19, 22) => (20, 23) @ (22, 22) == 1
(20, 23) => (21, 24) @ (22, 23) == 1
(21, 24) => (20, 25) @ (22, 24) == 1
(20, 25) => (19, 26) @ (22, 25) == 1
(19, 26) => (18, 27) @ (22, 26) == 1
(18, 27) => (17, 28) @ (22, 27) == 1
(17, 28) => (16, 29) @ (22, 28) == 1
(16, 29) => (15, 30) @ (22, 29) == 1
(15, 30) => (14, 31) @ (22, 30) == 1
(14, 31) => (13, 32) @ (22, 31) == 1
(13, 32) => (14, 31) @ (22, 32) == -1
(14, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (17, 28) @ (22, 29) == -1
(17, 28) => (18, 27) @ (22, 28) == -1
(18, 27) => (19, 26) @ (22, 27) == -1
